episode,action_0,action_1,action_2,action_3,action_4
1,0,14,254,92,90
2,0,21,57,22,32
3,4,51,225,107,63
4,1,17,197,53,182
5,3,20,203,63,161
6,3,28,121,42,22
7,6,55,225,133,31
8,4,41,237,76,51
9,0,16,77,30,6
10,11,76,194,88,81
11,0,20,90,26,13
12,0,29,80,30,12
13,3,45,221,92,89
14,0,21,92,26,35
15,1,34,117,48,19
16,0,5,44,6,29
17,3,36,78,19,26
18,4,65,228,103,50
19,0,9,45,8,18
20,2,59,178,73,19
21,7,75,205,99,64
22,1,14,103,28,28
23,4,33,200,81,87
24,4,65,158,79,38
25,3,32,101,55,22
26,0,23,311,40,76
27,0,45,244,58,101
28,1,26,172,58,62
29,5,91,158,53,143
30,5,99,171,86,89
31,10,92,187,121,40
32,4,25,80,51,15
33,7,77,228,94,44
34,0,25,74,23,11
35,2,19,165,69,40
36,6,57,230,99,58
37,6,43,132,63,42
38,3,88,222,91,46
39,8,85,150,92,80
40,2,47,95,57,39
41,0,53,236,74,46
42,0,12,119,30,72
43,1,38,153,59,40
44,4,73,181,73,32
45,1,30,133,64,13
46,0,21,87,16,11
47,3,48,152,75,28
48,0,21,159,28,12
49,0,9,114,20,13
50,3,83,263,62,39
51,0,69,213,61,35
52,2,46,282,90,30
53,1,79,251,80,39
54,5,82,170,78,40
55,0,21,72,30,16
56,0,5,47,5,8
57,0,5,54,13,7
58,3,95,254,85,13
59,0,40,272,95,43
60,2,39,228,66,37
61,2,47,277,91,33
62,4,57,132,46,15
63,0,21,123,27,25
64,0,21,161,28,29
65,3,99,203,116,29
66,1,106,173,100,70
67,1,14,99,17,23
68,1,53,243,69,84
69,4,98,254,79,15
70,8,105,176,113,22
71,2,155,198,80,15
72,3,96,153,91,8
73,5,163,165,96,21
74,0,41,98,40,10
75,0,33,71,27,5
76,1,55,282,77,35
77,1,94,220,86,22
78,1,38,126,35,21
79,0,69,206,85,18
80,0,29,96,36,12
81,2,72,270,92,14
82,2,47,97,45,15
83,3,52,114,56,12
84,0,21,65,22,18
85,4,88,215,124,19
86,2,68,249,63,68
87,0,17,49,25,5
88,3,111,152,68,16
89,0,88,125,98,13
90,0,37,114,51,10
91,5,84,243,93,25
92,0,61,192,38,6
93,3,89,213,118,27
94,0,72,265,97,16
95,4,74,200,134,38
96,1,82,223,100,12
97,2,59,203,74,10
98,0,37,179,51,21
99,0,33,99,40,15
100,0,68,268,98,16
101,1,80,229,100,40
102,2,63,84,54,12
103,0,13,69,23,13
104,1,22,133,43,25
105,2,31,186,66,16
106,3,49,284,103,11
107,3,136,158,84,24
108,1,18,75,29,7
109,1,54,156,63,24
110,0,60,268,88,34
111,1,21,52,12,8
112,1,38,205,35,7
113,0,33,127,40,26
114,0,17,303,27,14
115,1,70,230,68,26
116,3,50,289,93,15
117,4,108,206,109,23
118,0,113,186,86,12
119,1,54,107,47,9
120,1,140,206,94,9
121,0,29,153,24,7
122,0,37,73,30,7
123,0,58,255,67,70
124,0,37,82,19,12
125,0,49,93,38,18
126,1,109,241,81,18
127,0,21,90,26,5
128,1,97,203,77,72
129,4,77,173,62,67
130,0,9,70,17,8
131,2,43,121,37,7
132,2,27,123,34,14
133,2,111,221,80,36
134,2,83,132,60,70
135,5,95,225,106,19
136,0,28,60,27,7
137,1,21,31,20,8
138,3,76,190,82,43
139,4,93,123,68,27
140,0,93,161,99,22
141,2,51,157,47,23
142,2,114,173,82,79
143,1,42,120,39,26
144,2,54,183,63,148
145,3,43,59,29,7
146,2,39,113,39,38
147,0,80,255,71,44
148,2,55,226,52,62
149,0,49,114,27,18
150,0,17,144,24,21
151,0,41,220,47,27
152,2,56,262,94,36
153,1,128,188,81,52
154,1,121,217,70,38
155,7,84,154,66,44
156,1,46,180,64,33
157,5,62,115,61,16
158,1,28,319,57,45
159,1,41,188,35,37
160,3,72,261,76,38
161,0,49,51,37,3
162,0,41,83,20,16
163,1,110,110,84,33
164,0,133,131,76,29
165,3,24,72,22,10
166,1,118,98,75,27
167,0,66,214,81,89
168,0,21,54,24,18
169,1,42,81,30,17
170,0,33,158,33,24
171,0,13,128,33,9
172,0,104,228,97,21
173,0,196,130,79,45
174,3,87,217,95,48
175,9,146,106,111,21
176,1,66,115,50,28
177,1,112,181,105,51
178,1,90,113,70,47
179,0,45,157,58,13
180,0,49,199,54,36
181,0,25,100,29,29
182,0,13,110,34,23
183,0,57,74,46,21
184,1,34,151,61,22
185,0,17,59,31,9
186,2,128,191,106,23
187,0,61,141,49,36
188,0,73,187,86,32
189,1,98,166,89,13
190,0,49,135,50,36
191,3,185,120,116,26
192,3,156,155,117,19
193,0,21,28,11,5
194,0,61,59,39,10
195,0,199,134,96,21
196,0,37,60,20,12
197,0,37,106,56,26
198,2,169,143,111,25
199,2,75,139,92,16
200,4,130,154,114,48
201,4,140,168,112,26
202,0,41,100,35,18
203,0,24,72,29,11
204,0,77,150,79,19
205,1,65,177,77,15
206,0,13,58,19,10
207,0,111,188,129,22
208,0,41,56,47,9
209,0,53,83,45,17
210,0,65,181,90,20
211,0,33,64,48,13
212,2,124,158,135,31
213,0,29,75,32,3
214,0,33,94,40,19
215,1,74,183,109,15
216,6,153,183,98,10
217,6,103,122,107,17
218,3,99,201,113,34
219,0,33,129,69,13
220,2,59,168,89,7
221,1,82,137,79,25
222,2,115,165,150,18
223,0,13,55,19,22
224,2,51,116,57,20
225,3,135,165,124,23
226,0,53,211,90,96
227,6,126,131,152,35
228,3,107,196,126,18
229,5,102,180,123,25
230,1,26,101,42,14
231,1,62,118,71,14
232,0,25,117,43,24
233,0,9,75,40,22
234,0,36,105,80,61
235,2,77,195,135,41
236,1,42,150,89,15
237,1,82,89,92,14
238,0,127,138,157,28
239,4,108,162,160,16
240,5,135,174,131,5
241,0,37,54,44,5
242,5,154,127,133,15
243,0,89,172,116,17
244,1,111,178,144,16
245,0,81,85,91,9
246,0,65,111,92,18
247,1,101,129,124,11
248,0,89,113,105,22
249,8,154,117,144,27
