episode,action_0,action_1,action_2,action_3,action_4
1,83,75,82,112,98
2,81,92,94,88,95
3,76,90,91,104,89
4,93,88,100,90,79
5,71,85,127,85,82
6,100,75,96,103,76
7,75,91,116,88,80
8,71,98,127,72,82
9,84,91,105,98,72
10,68,76,128,105,73
11,67,77,149,76,81
12,70,73,137,87,83
13,66,87,136,87,74
14,71,73,137,104,65
15,80,85,126,91,68
16,67,77,139,90,77
17,62,97,130,97,64
18,73,90,126,107,54
19,83,95,107,88,77
20,67,88,118,97,80
21,77,86,103,103,81
22,79,73,114,89,95
23,81,93,104,102,70
24,83,93,105,85,84
25,77,105,95,109,64
26,57,109,133,93,58
27,78,119,116,90,47
28,58,120,113,93,66
29,84,121,93,99,53
30,73,90,115,107,65
31,87,81,121,96,65
32,88,91,139,92,40
33,74,97,146,82,51
34,91,89,126,79,65
35,62,100,132,89,67
36,74,106,123,85,62
37,76,68,181,83,42
38,75,92,143,90,50
39,77,78,152,90,53
40,61,79,154,90,66
41,76,72,151,98,53
42,71,80,140,91,68
43,69,56,173,97,55
44,52,68,193,96,41
45,53,75,178,98,46
46,60,67,152,120,51
47,63,62,162,100,63
48,65,58,163,102,62
49,57,73,164,92,64
50,47,68,166,129,40
51,54,71,145,132,48
52,71,61,148,130,40
53,74,63,129,129,55
54,66,60,137,115,72
55,52,68,148,127,55
56,61,61,153,118,57
57,60,72,145,128,45
58,56,73,139,116,66
59,59,48,154,126,63
60,54,59,154,112,71
61,42,66,151,124,67
62,67,76,122,120,65
63,48,75,131,139,57
64,66,75,137,103,69
65,76,79,127,109,59
66,49,53,138,146,64
67,52,70,148,127,53
68,51,47,146,144,62
69,52,56,143,141,58
70,65,65,146,120,54
71,59,74,132,119,66
72,58,63,135,116,78
73,64,76,120,110,80
74,68,76,103,119,84
75,70,79,120,114,67
76,71,74,115,119,71
77,58,75,130,128,59
78,66,73,128,108,75
79,48,67,143,116,76
80,59,76,120,113,82
81,67,63,141,118,61
82,78,62,125,115,70
83,64,76,129,113,68
84,56,69,130,116,79
85,56,75,120,119,80
86,71,80,115,121,63
87,44,50,160,121,75
88,59,53,134,129,75
89,65,55,146,112,72
90,65,78,140,105,62
91,73,68,122,115,72
92,68,58,138,120,66
93,74,70,142,102,62
94,71,60,128,101,71
95,52,55,160,121,62
96,62,67,160,102,59
97,53,45,168,119,65
98,74,53,149,112,62
99,36,29,98,94,70
100,48,47,165,118,72
101,43,35,166,132,74
102,53,51,148,133,65
103,66,48,149,126,61
104,62,39,158,132,59
105,79,41,153,112,65
106,49,36,171,110,84
107,64,42,158,112,74
108,70,65,133,116,66
109,82,53,136,116,63
110,76,65,137,109,63
111,64,67,119,128,72
112,77,63,119,124,67
113,74,69,121,116,70
114,69,62,145,99,75
115,77,61,127,108,77
116,62,53,148,108,79
117,70,51,150,120,59
118,77,73,126,103,71
119,70,50,143,110,77
120,75,56,136,106,77
121,75,58,138,112,67
122,75,67,126,101,81
123,62,57,149,118,64
124,92,50,117,113,78
125,75,66,122,105,82
126,82,65,123,103,77
127,74,62,117,105,92
128,68,66,137,101,78
129,63,51,139,112,85
130,63,60,142,120,65
131,64,68,139,114,65
132,71,56,148,91,84
133,84,60,115,116,75
134,64,60,135,107,84
135,60,56,129,129,76
136,65,45,124,113,69
137,38,34,155,150,73
138,45,44,150,131,80
139,58,44,134,135,79
140,60,49,121,136,84
141,68,42,140,115,85
142,53,39,152,122,84
143,73,46,129,118,84
144,68,60,117,136,69
145,56,43,113,136,102
146,86,61,110,103,90
147,70,52,119,128,81
148,69,59,117,119,86
149,85,53,115,106,91
150,79,58,106,121,86
151,83,52,119,118,78
152,92,50,109,107,92
153,74,58,112,106,84
154,75,46,137,115,77
155,69,48,124,130,79
156,74,52,124,116,84
157,70,39,135,119,87
158,65,49,107,134,95
159,50,47,105,109,74
160,67,39,137,128,79
161,66,37,145,117,85
162,58,44,152,110,86
163,55,47,150,119,79
164,67,44,139,120,80
165,55,44,121,98,77
166,42,19,190,128,71
167,48,34,168,125,75
168,49,36,137,143,85
169,48,25,178,130,69
170,49,30,192,109,70
171,53,40,166,117,74
172,55,37,148,126,84
173,61,37,153,130,69
174,63,40,150,132,65
175,50,25,156,136,83
176,42,28,158,137,85
177,48,25,158,137,82
178,41,13,182,141,73
179,38,13,198,118,83
180,48,29,173,116,84
181,43,40,144,124,72
182,34,22,109,101,55
183,43,11,203,138,55
184,37,28,179,127,79
185,52,35,163,127,73
186,44,41,162,131,72
187,67,43,129,120,91
188,44,49,147,128,82
189,40,32,167,142,69
190,63,49,135,121,82
191,56,36,149,141,68
192,55,48,108,139,100
193,43,46,132,155,74
194,49,41,132,145,83
195,57,58,122,105,108
196,51,65,120,138,76
197,51,33,157,117,92
198,54,46,148,115,87
199,54,56,139,119,82
200,51,41,163,108,87
201,57,45,125,94,59
202,51,53,144,122,80
203,32,40,141,147,90
204,44,36,177,119,74
205,37,48,161,130,74
206,26,19,172,161,72
207,46,43,152,133,76
208,46,32,154,138,80
209,47,47,158,126,72
210,52,46,159,121,72
211,31,46,148,143,82
212,37,33,172,140,68
213,45,44,176,110,75
214,50,32,176,118,74
215,39,35,176,107,93
216,45,44,151,118,92
217,39,43,170,116,82
218,63,44,135,128,80
219,55,54,152,100,89
220,55,60,135,115,85
221,62,71,140,107,70
222,50,58,136,134,72
223,54,44,166,99,87
224,59,51,140,125,75
225,64,54,143,111,78
226,62,63,136,105,84
227,49,43,152,114,92
228,65,54,149,100,82
229,55,59,145,107,84
230,58,60,127,98,107
231,72,51,143,97,87
232,61,67,149,103,70
233,61,53,146,102,88
234,57,65,151,103,74
235,56,38,167,103,86
236,44,40,146,132,88
237,56,49,154,110,81
238,48,49,147,132,74
239,53,41,134,139,83
240,48,51,138,118,95
241,54,51,141,120,84
242,58,55,130,123,84
243,54,59,135,126,76
244,48,43,153,116,90
245,48,53,126,134,89
246,53,54,133,118,92
247,56,46,149,114,85
248,45,40,138,124,103
249,59,47,138,123,83
250,61,60,137,114,78
251,53,56,140,114,87
252,50,50,135,109,106
253,59,54,126,120,91
254,47,52,134,132,85
255,64,49,125,124,88
256,70,53,118,131,78
257,60,64,124,111,91
258,67,71,115,104,93
259,62,63,126,121,78
260,55,71,118,112,94
261,57,66,113,114,100
262,66,63,108,125,88
263,54,54,126,111,105
264,47,56,138,125,84
265,64,68,110,127,81
266,60,62,109,128,91
267,44,52,144,112,98
268,44,37,165,120,84
269,45,29,148,132,96
270,44,37,153,122,94
271,38,36,144,132,100
272,54,55,137,117,87
273,50,41,152,135,72
274,37,48,146,140,79
275,39,35,159,129,88
276,48,51,149,129,73
277,48,45,125,134,98
278,45,47,150,126,82
279,54,43,163,114,76
280,47,48,159,122,74
281,50,53,145,119,83
282,55,55,137,124,79
283,46,33,164,123,84
284,68,49,138,117,78
285,63,45,163,113,66
286,43,52,139,134,82
287,51,44,146,127,82
288,59,47,145,117,82
289,53,50,150,122,75
290,53,43,155,101,98
291,51,38,160,135,66
292,37,30,170,131,82
293,44,22,181,126,77
294,46,26,175,124,79
295,45,22,179,129,75
296,41,21,178,128,82
297,55,33,159,129,74
298,55,29,164,121,81
299,61,30,150,128,81
300,58,47,130,129,86
301,55,43,134,124,94
302,67,36,141,116,90
303,52,52,125,123,98
304,58,35,149,122,86
305,48,26,169,114,93
306,51,45,163,116,75
307,54,35,160,116,85
308,33,30,143,114,86
309,54,29,168,116,83
310,38,38,177,102,95
311,34,44,170,129,73
312,54,40,152,122,82
313,54,52,141,123,80
314,57,44,146,122,81
315,63,46,149,107,85
316,48,35,174,112,81
317,52,35,148,109,106
318,56,34,159,119,82
319,53,31,164,107,95
320,70,45,158,108,69
321,69,45,140,108,88
322,62,47,150,112,79
323,57,38,161,105,89
324,57,41,166,111,75
325,45,43,152,115,95
326,45,33,169,106,97
327,40,11,203,109,87
328,43,21,194,112,80
329,52,29,172,95,102
330,33,38,162,120,97
331,46,41,140,101,122
332,56,54,149,95,96
333,57,44,160,103,86
334,70,40,159,97,84
335,60,51,130,120,89
336,67,59,144,96,84
337,73,39,162,98,78
338,51,27,173,105,94
339,32,25,193,112,88
340,49,24,179,103,95
341,60,38,182,100,70
342,41,33,146,82,69
343,48,24,194,105,79
344,44,35,181,107,83
345,41,46,161,92,110
346,59,31,164,99,97
347,60,19,179,99,93
348,51,38,174,92,95
349,46,30,198,79,97
350,59,32,197,76,86
351,64,34,165,85,102
352,63,42,150,93,102
353,50,53,154,99,94
354,55,39,163,100,93
355,42,35,178,91,104
356,61,49,161,92,87
357,55,29,188,92,86
358,44,51,161,86,108
359,55,45,152,93,105
360,60,47,145,91,107
361,62,47,141,109,91
362,26,26,119,57,73
363,63,37,149,87,114
364,35,31,172,110,102
365,52,40,178,81,99
366,56,34,178,95,87
367,52,41,166,105,86
368,44,39,181,93,93
369,51,43,167,91,98
370,44,36,173,91,106
371,55,55,170,84,86
372,76,69,121,100,84
373,52,42,143,111,102
374,67,50,162,87,84
375,69,52,113,111,105
376,53,56,150,91,100
377,52,51,159,98,90
378,66,51,154,93,86
379,67,54,122,103,104
380,61,49,132,105,103
381,81,56,134,76,103
382,66,71,118,89,106
383,73,58,140,90,89
384,75,61,135,84,95
385,67,67,132,86,98
386,66,71,120,102,91
387,70,65,126,100,89
388,65,61,122,111,91
389,72,71,115,96,96
390,71,56,122,96,105
391,68,71,130,87,94
392,69,74,117,87,103
393,79,66,118,106,81
394,66,54,132,90,108
395,70,50,128,87,115
396,56,46,145,109,94
397,53,41,135,117,104
398,54,53,140,113,90
399,53,59,126,115,97
400,70,51,137,98,94
401,53,59,148,110,80
402,62,57,136,101,94
403,70,52,125,100,103
404,43,57,130,107,113
405,52,63,152,97,86
406,63,43,164,101,79
407,37,34,214,95,70
408,45,24,192,98,91
409,48,28,175,120,79
410,51,56,154,99,90
411,61,55,141,93,100
412,61,53,131,101,104
413,68,53,134,84,111
414,65,62,124,102,97
415,63,50,157,90,90
416,73,60,139,95,83
417,64,60,132,92,102
418,66,53,145,102,84
419,54,50,154,94,98
420,50,42,160,105,93
421,54,42,153,109,92
422,51,41,168,103,87
423,62,56,146,91,95
424,73,54,121,91,111
425,51,61,136,92,110
426,52,44,140,101,113
427,52,36,134,116,112
428,74,46,152,91,87
429,44,41,155,112,98
430,60,57,136,98,99
431,54,50,144,97,105
432,40,40,154,110,106
433,55,51,137,109,98
434,48,40,145,106,111
435,59,34,130,122,105
436,51,37,142,115,105
437,33,29,106,60,76
438,50,22,147,125,106
439,43,26,171,122,88
440,36,22,182,121,89
441,61,33,151,107,98
442,51,28,156,115,100
443,25,17,191,128,89
444,24,16,196,129,85
445,34,24,174,117,101
446,49,29,167,117,88
447,38,35,180,132,65
448,25,16,220,125,64
449,32,28,185,123,82
450,34,32,193,126,65
451,37,33,165,126,89
452,54,17,165,142,72
453,38,21,170,146,75
454,12,13,88,85,35
455,25,17,165,173,70
456,37,16,189,145,63
457,31,13,214,151,41
458,16,16,226,142,50
459,17,16,255,114,48
460,23,15,216,150,46
461,22,17,225,132,54
462,20,21,243,115,51
463,19,15,220,137,59
464,24,21,194,152,59
465,36,22,199,129,64
466,36,18,179,136,81
467,47,25,177,133,68
468,42,29,164,148,67
469,34,31,152,161,72
470,23,22,175,151,79
471,37,22,157,148,86
472,40,23,178,139,70
473,40,37,159,138,76
474,25,32,186,141,66
475,45,26,168,132,79
476,55,52,121,131,91
477,52,42,152,124,80
478,49,34,149,129,89
479,44,30,157,152,67
480,43,24,163,133,87
481,46,31,143,145,85
482,40,32,161,151,66
483,38,43,144,126,99
484,54,51,151,111,83
485,47,46,142,116,99
486,64,71,119,98,98
487,61,74,112,110,93
488,56,61,124,117,92
489,74,66,120,104,86
490,52,54,153,117,74
491,58,49,121,120,102
492,50,43,135,133,89
493,53,32,159,129,77
494,54,43,160,101,92
495,51,37,167,118,77
496,35,61,135,124,95
497,42,56,128,118,106
498,47,69,123,110,101
499,63,59,139,109,80
500,68,69,115,100,98
501,75,57,127,113,78
502,68,57,139,98,88
503,70,53,133,101,93
504,46,54,147,115,88
505,39,53,141,130,87
506,82,41,117,126,84
507,60,47,129,130,84
508,52,32,149,120,79
509,51,47,139,127,86
510,66,42,142,123,77
511,50,45,163,116,76
512,58,40,165,89,98
513,59,44,157,117,73
514,59,46,158,119,68
515,60,36,140,124,90
516,64,47,127,118,94
517,61,46,135,124,84
518,57,40,145,119,89
519,73,41,147,106,83
520,54,37,148,124,87
521,71,38,130,129,82
522,76,57,123,100,94
523,68,64,126,113,79
524,67,50,131,114,88
525,74,62,124,99,91
526,80,55,125,117,73
527,87,43,118,93,109
528,76,52,119,114,89
529,83,38,127,118,84
530,79,55,109,115,92
531,71,54,132,105,88
532,75,55,140,94,86
533,79,52,134,102,83
534,60,62,119,128,81
535,71,46,135,113,85
536,80,58,118,109,85
