episode,action_0,action_1,action_2,action_3,action_4
1,83,75,82,112,98
2,83,94,94,84,95
3,81,93,88,100,88
4,98,91,92,89,80
5,82,91,107,79,91
6,114,79,79,95,83
7,92,96,99,78,85
8,111,97,124,48,70
9,120,89,107,72,62
10,112,80,116,75,67
11,97,90,112,59,92
12,112,96,91,62,89
13,101,91,105,74,79
14,103,86,99,84,78
15,109,101,90,76,74
16,102,87,97,76,88
17,97,110,103,64,76
18,105,104,89,81,71
19,104,114,83,70,79
20,90,99,103,74,84
21,105,100,92,70,83
22,107,88,111,54,90
23,105,97,98,82,68
24,113,92,97,61,87
25,106,107,83,91,63
26,104,99,99,64,84
27,115,98,99,70,68
28,89,104,104,68,85
29,105,115,85,78,67
30,95,81,104,90,80
31,104,76,112,73,85
32,109,91,115,78,57
33,88,99,103,76,84
34,98,89,106,72,85
35,69,102,109,79,91
36,90,118,97,66,79
37,94,84,119,73,80
38,85,111,108,74,72
39,91,84,122,77,76
40,75,89,127,73,86
41,92,80,144,66,68
42,82,82,161,50,75
43,92,59,163,63,73
44,78,74,166,65,67
45,90,80,122,68,90
46,88,76,116,77,93
47,80,83,129,63,95
48,83,77,127,71,92
49,78,82,138,56,96
50,82,91,128,79,70
51,79,95,118,85,73
52,100,80,116,87,67
53,92,79,120,79,80
54,83,68,122,78,99
55,80,92,125,74,79
56,86,74,134,73,83
57,75,76,163,63,73
58,67,68,144,66,105
59,68,46,166,56,114
60,62,43,194,35,116
61,54,51,187,42,116
62,80,63,154,57,96
63,68,63,156,61,102
64,82,67,155,54,92
65,94,74,141,59,82
66,81,53,135,72,109
67,85,86,134,53,92
68,75,56,164,48,107
69,77,53,195,42,83
70,78,51,203,32,86
71,73,48,187,33,109
72,65,50,192,29,114
73,62,56,144,49,139
74,73,60,122,53,142
75,72,68,131,46,133
76,70,70,130,59,121
77,63,72,130,65,120
78,74,70,124,64,118
79,57,73,135,70,115
80,70,88,115,66,111
81,50,46,93,54,65
82,80,70,120,65,115
83,84,76,106,80,104
84,82,78,120,78,92
85,63,61,148,75,103
86,73,81,116,74,106
87,55,85,135,67,108
88,72,72,123,84,99
89,74,70,127,68,111
90,82,70,138,59,101
91,65,58,144,65,118
92,70,83,129,73,95
93,82,87,108,76,97
94,73,71,122,69,115
95,60,67,128,82,113
96,72,78,143,65,92
97,70,85,114,76,105
98,37,54,60,45,69
99,68,77,129,75,101
100,62,74,129,61,124
101,73,78,116,76,107
102,53,82,119,74,122
103,66,73,147,63,101
104,56,95,125,67,107
105,56,77,145,70,102
106,54,73,141,54,128
107,60,71,130,63,126
108,61,82,142,62,103
109,50,47,90,32,83
110,52,78,168,55,97
111,57,75,151,54,113
112,50,77,164,56,103
113,81,72,138,54,105
114,67,89,127,64,103
115,70,76,131,71,102
116,79,78,139,70,84
117,75,96,119,65,95
118,76,83,114,74,103
119,80,88,122,67,93
120,75,74,129,74,98
121,79,79,123,80,89
122,81,91,107,98,73
123,70,89,116,72,103
124,61,74,142,76,97
125,83,68,113,88,98
126,73,79,122,78,98
127,84,83,105,75,103
128,85,89,108,74,94
129,71,66,131,90,92
130,74,88,99,93,96
131,93,84,105,96,72
132,69,90,109,81,101
133,84,79,116,76,95
134,80,86,92,97,95
135,78,83,115,80,94
136,83,84,110,92,81
137,82,74,117,89,88
138,66,75,132,81,96
139,67,80,124,85,94
140,80,87,109,72,102
141,73,81,129,80,87
142,89,64,119,80,98
143,86,72,134,53,105
144,86,79,105,76,104
145,75,71,125,82,97
146,81,72,104,84,109
147,77,76,113,64,120
148,73,69,124,82,102
149,76,76,118,88,92
150,78,73,141,66,92
151,94,79,120,70,87
152,76,74,122,92,86
153,76,72,112,87,103
154,82,69,120,86,93
155,82,79,122,79,88
156,69,68,112,104,97
157,79,78,124,82,87
158,75,71,123,77,104
159,90,73,108,86,93
160,89,73,130,74,84
161,59,64,116,67,99
162,72,44,162,62,110
163,67,62,144,75,102
164,73,51,131,86,109
165,63,67,129,80,111
166,66,41,171,74,98
167,69,55,141,85,100
168,61,54,148,78,109
169,69,58,125,88,110
170,67,51,145,76,111
171,73,41,167,81,88
172,63,34,154,99,100
173,60,41,173,89,87
174,66,40,170,83,91
175,70,33,185,78,84
176,60,51,151,93,95
177,46,49,151,94,110
178,60,60,152,90,88
179,51,41,168,85,105
180,66,44,147,106,87
181,66,57,145,95,87
182,67,75,125,96,87
183,75,55,127,97,96
184,66,57,130,85,112
185,64,55,143,92,96
186,72,63,128,96,91
187,79,52,113,101,105
188,58,60,131,98,103
189,56,52,142,114,86
190,97,61,116,80,96
191,76,59,126,117,72
192,68,65,110,107,100
193,51,65,122,122,90
194,77,49,126,99,99
195,68,52,133,88,109
196,72,62,120,110,86
197,68,52,124,97,109
198,84,63,125,86,92
199,70,73,112,98,97
200,70,59,124,83,114
201,82,88,105,87,88
202,74,85,107,96,88
203,69,88,91,101,101
204,71,51,136,91,101
205,32,36,47,46,45
206,44,35,179,100,92
207,56,56,134,100,104
208,66,51,144,97,92
209,62,59,137,88,104
210,69,64,130,97,90
211,79,65,127,99,80
212,62,55,137,108,88
213,53,62,151,93,91
214,57,64,132,116,81
215,59,58,139,106,88
216,64,59,133,112,82
217,55,57,145,91,102
218,51,58,174,89,78
219,49,64,138,115,84
220,68,71,132,90,89
221,78,77,138,75,82
222,63,71,124,113,79
223,60,66,141,100,83
224,75,61,141,102,71
225,70,52,134,108,86
226,59,71,146,96,78
227,52,67,152,93,86
228,61,60,141,98,90
229,61,64,165,76,84
230,61,57,149,94,89
231,58,68,144,88,92
232,69,65,141,86,89
233,60,75,151,87,77
234,63,58,160,80,89
235,62,66,172,84,66
236,56,45,169,92,88
237,52,54,162,97,85
238,49,56,169,86,90
239,52,53,178,88,79
240,54,61,155,109,71
241,50,42,141,78,73
242,46,46,188,90,80
243,48,57,162,96,87
244,62,65,156,91,76
245,39,67,165,92,87
246,44,53,162,100,91
247,42,55,181,88,84
248,46,66,183,77,78
249,50,50,155,92,103
250,60,68,162,92,68
251,59,74,134,97,86
252,65,82,135,80,88
253,52,53,151,86,108
254,55,71,143,99,82
255,18,14,36,24,15
256,57,53,155,97,88
257,50,63,144,105,88
258,48,66,167,89,80
259,57,68,160,86,79
260,37,33,78,43,33
261,62,63,148,99,78
262,63,66,151,84,86
263,50,75,144,89,92
264,61,64,160,91,74
265,65,70,141,87,87
266,44,62,163,104,77
267,64,73,127,104,82
268,62,64,140,91,93
269,50,56,176,84,84
270,46,50,182,83,89
271,57,45,162,96,90
272,50,51,190,81,78
273,49,48,176,95,82
274,47,51,200,78,74
275,41,33,210,108,58
276,30,51,189,110,70
277,39,42,200,96,73
278,41,53,189,114,53
279,36,44,170,111,89
280,36,46,192,101,75
281,49,42,200,108,51
282,43,45,185,113,64
283,43,56,196,98,57
284,43,45,189,121,52
285,35,36,195,106,78
286,50,44,189,104,63
287,44,37,219,94,56
288,34,45,182,122,67
289,40,54,170,115,71
290,46,49,172,108,75
291,35,39,195,120,61
292,37,38,190,100,85
293,35,42,179,132,62
294,27,55,167,118,77
295,34,38,180,128,70
296,33,45,185,122,65
297,29,41,187,128,65
298,16,34,201,126,73
299,40,45,181,116,68
300,37,44,179,118,72
301,40,37,173,131,69
302,38,60,158,116,78
303,36,52,158,124,80
304,52,45,166,103,84
305,37,52,147,127,87
306,39,42,171,114,84
307,37,46,181,110,76
308,38,51,193,106,62
309,23,36,112,56,45
310,29,53,180,109,79
311,39,50,181,97,83
312,29,59,177,93,92
313,33,61,183,119,54
314,44,52,162,118,74
315,39,71,155,109,76
316,34,48,169,122,77
317,40,49,175,105,81
318,29,46,196,107,72
319,29,34,121,61,71
320,28,40,198,104,80
321,34,46,196,98,76
322,31,47,194,104,74
323,34,62,180,104,70
324,51,56,168,119,56
325,35,52,196,100,67
326,40,49,180,98,83
327,33,49,190,106,72
328,26,35,146,90,77
329,26,43,207,115,59
330,32,25,204,109,80
331,37,45,200,102,66
332,44,47,186,91,82
333,42,54,163,109,82
334,34,52,150,116,98
335,29,56,164,116,85
336,28,65,148,94,53
337,30,35,202,105,78
338,35,45,180,122,68
339,32,62,181,104,71
340,53,51,171,103,72
341,33,54,169,114,80
342,29,55,161,128,77
343,41,39,172,108,90
344,38,75,156,108,73
345,39,63,175,108,65
346,13,18,60,52,23
347,40,61,173,110,66
348,25,63,166,97,99
349,37,60,152,115,86
350,35,40,174,110,91
351,41,47,168,105,89
352,44,62,156,95,93
353,56,64,154,103,73
354,61,62,144,116,67
355,49,71,133,115,82
356,39,70,140,119,82
357,48,63,146,112,81
358,42,65,148,112,83
359,48,70,154,101,77
360,40,55,184,108,63
361,46,63,144,108,89
362,47,68,164,107,64
363,49,52,148,118,83
364,53,58,133,126,80
365,46,69,142,105,88
366,68,64,124,93,101
367,53,68,124,125,80
368,58,66,143,98,85
369,61,54,155,106,74
370,49,61,157,110,73
371,40,61,159,107,83
372,47,66,149,108,80
373,37,53,168,115,77
374,47,62,173,99,69
375,46,75,149,107,73
376,37,58,148,121,86
377,45,53,179,108,65
378,44,63,132,128,83
379,33,64,167,103,83
380,34,66,158,109,83
381,43,67,162,98,80
382,40,59,152,109,90
383,39,60,166,108,77
384,52,57,162,90,89
385,42,74,142,104,88
386,54,71,153,96,76
387,64,74,144,89,79
388,64,83,134,87,82
389,66,87,112,99,86
390,62,79,132,101,76
391,60,75,119,113,83
392,68,94,108,94,86
393,55,72,135,104,84
394,57,88,129,92,84
395,51,89,125,101,84
396,63,69,136,109,73
397,54,68,143,97,88
398,65,60,125,98,102
399,58,79,123,102,88
400,59,74,104,120,93
401,54,68,126,125,77
402,47,77,118,124,84
403,61,70,127,116,76
404,47,74,152,113,64
405,63,70,121,109,87
406,67,62,131,99,91
407,38,79,126,108,93
408,40,82,140,115,73
