episode,has_crossed_door,got_key,opened_door,got_ball
1,0,0,0,0
2,0,0,0,0
3,0,1,0,0
4,0,0,0,0
5,0,1,1,0
6,0,1,0,0
7,1,1,0,0
8,0,0,0,0
9,0,1,0,0
10,0,1,1,0
11,0,1,0,0
12,0,1,0,0
13,0,0,0,0
14,0,1,0,0
15,0,1,0,0
16,0,1,0,0
17,0,1,1,0
18,0,1,0,0
19,0,1,1,0
20,0,1,1,0
21,0,1,1,0
22,0,1,0,0
23,0,0,0,0
24,0,1,0,0
25,0,1,0,0
26,0,1,0,0
27,0,1,0,0
28,0,1,0,0
29,0,0,0,0
30,0,1,0,0
31,0,0,0,0
32,0,0,0,0
33,0,1,0,0
34,0,0,0,0
35,1,1,1,0
36,0,1,0,0
37,0,1,0,0
38,0,1,0,0
39,0,1,0,0
40,0,1,1,0
41,0,1,0,0
42,0,0,0,0
43,1,1,0,0
44,0,1,0,0
45,0,1,1,0
46,0,1,0,0
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,0,1,0,0
51,0,1,0,0
52,0,1,0,0
53,0,0,0,0
54,0,1,1,0
55,0,1,0,0
56,1,1,1,0
57,0,1,1,0
58,0,1,0,0
59,0,1,0,0
60,1,1,1,0
61,0,1,0,0
62,0,1,0,0
63,0,1,1,0
64,0,1,0,0
65,0,1,1,0
66,0,1,0,0
67,1,1,0,0
68,0,1,0,0
69,1,1,1,0
70,0,1,1,0
71,1,1,1,0
72,1,1,1,0
73,0,1,1,0
74,0,1,0,0
75,0,0,0,0
76,0,1,0,0
77,0,1,0,0
78,0,1,0,0
79,0,1,0,0
80,0,1,0,0
81,1,1,1,1
82,0,0,0,0
83,0,1,0,0
84,1,1,1,0
85,0,0,0,0
86,0,1,0,0
87,0,0,0,0
88,1,1,1,0
89,1,1,1,0
90,0,1,0,0
91,0,0,0,0
92,0,1,0,0
93,0,1,0,0
94,1,1,1,1
95,0,1,0,0
96,0,1,0,0
97,0,1,0,0
98,1,1,1,1
99,0,0,0,0
100,0,1,0,0
101,1,1,1,0
102,0,1,0,0
103,0,1,1,0
104,1,1,1,0
