episode,reward,steps,success
1,21.963000000000005,37,True
2,21.936,64,True
3,21.945000000000014,55,True
4,21.945000000000007,55,True
5,21.838999999999988,161,True
6,21.928999999999995,71,True
7,21.941000000000003,59,True
8,21.957,43,True
9,21.939,61,True
10,21.948,52,True
11,21.97,30,True
12,21.93400000000001,66,True
13,21.912999999999993,87,True
14,21.936000000000007,64,True
15,21.942000000000004,58,True
16,21.942,58,True
17,21.951,49,True
18,21.947000000000003,53,True
19,21.934999999999988,65,True
20,21.919999999999995,80,True
21,21.926999999999992,73,True
22,21.907999999999987,92,True
23,21.936,64,True
24,21.933,67,True
25,21.976000000000006,24,True
26,21.936999999999994,63,True
27,21.938000000000002,62,True
28,21.967,33,True
29,21.958000000000013,42,True
30,21.91299999999999,87,True
31,21.938000000000002,62,True
32,21.948,52,True
33,21.940999999999995,59,True
34,21.957000000000008,43,True
35,21.933999999999997,66,True
36,21.945000000000007,55,True
37,21.951,49,True
38,21.912999999999997,87,True
39,21.946000000000005,54,True
40,21.888999999999978,111,True
41,21.926999999999992,73,True
42,21.925000000000004,75,True
43,21.937999999999995,62,True
44,21.933999999999997,66,True
45,21.951,49,True
46,21.907999999999994,92,True
47,21.886999999999997,113,True
48,21.89299999999998,107,True
49,21.903999999999986,96,True
50,21.933,67,True
51,21.968000000000004,32,True
52,21.937999999999995,62,True
53,21.953000000000003,47,True
54,21.958,42,True
55,21.942999999999994,57,True
56,21.936000000000003,64,True
57,21.951000000000008,49,True
58,21.931999999999995,68,True
59,21.948,52,True
60,21.849999999999994,150,True
61,21.938,62,True
62,21.937999999999995,62,True
63,21.956999999999997,43,True
64,21.94400000000001,56,True
65,21.948999999999998,51,True
66,21.956000000000007,44,True
67,21.912000000000006,88,True
68,21.92300000000002,77,True
69,21.937999999999995,62,True
70,21.942000000000007,58,True
71,21.949000000000012,51,True
72,21.916999999999987,83,True
73,21.940000000000005,60,True
74,21.96,40,True
75,21.950000000000003,50,True
76,21.945999999999998,54,True
77,21.904000000000003,96,True
78,21.880999999999986,119,True
79,21.965000000000003,35,True
80,21.914999999999992,85,True
81,21.91199999999999,88,True
82,21.962,38,True
83,21.94800000000001,52,True
84,21.958000000000006,42,True
85,21.945000000000014,55,True
86,21.88600000000001,114,True
87,21.948,52,True
88,21.942000000000004,58,True
89,21.930000000000003,70,True
90,21.966000000000005,34,True
91,21.938999999999997,61,True
92,21.945999999999998,54,True
93,21.945000000000007,55,True
94,21.955,45,True
95,21.945,55,True
96,21.946,54,True
97,21.948000000000015,52,True
98,21.932000000000002,68,True
99,21.943999999999996,56,True
100,21.946000000000005,54,True
