episode,action_0,action_1,action_2,action_3,action_4
1,83,72,84,111,100
2,80,91,96,84,99
3,71,95,89,99,96
4,88,92,95,77,98
5,81,96,112,50,111
6,95,84,89,59,123
7,68,99,96,51,136
8,68,100,108,49,125
9,79,81,94,70,126
10,73,80,100,79,118
11,69,86,93,66,136
12,72,95,99,60,124
13,68,91,116,66,109
14,68,82,113,78,109
15,62,89,112,57,130
16,54,91,104,36,165
17,57,102,119,44,128
18,61,99,112,44,134
19,56,105,120,35,134
20,27,88,147,16,172
21,44,77,120,50,159
22,50,70,134,44,152
23,55,77,132,67,119
24,59,81,136,36,138
25,41,83,131,61,134
26,41,78,146,48,137
27,45,82,160,38,125
28,31,84,148,34,153
29,44,85,131,50,140
30,36,74,140,44,156
31,63,62,139,45,141
32,69,86,148,44,103
33,54,88,133,46,129
34,42,56,167,30,155
35,31,79,141,36,163
36,33,82,149,29,157
37,34,55,167,26,168
38,23,51,153,19,204
39,20,40,146,14,230
40,7,31,143,20,249
41,5,35,158,6,246
42,13,34,133,7,263
43,19,41,152,21,217
44,22,64,146,38,180
45,32,74,119,46,179
46,40,80,108,54,168
47,51,93,131,44,131
48,47,79,147,46,131
49,43,90,151,41,125
50,48,92,127,73,94
51,30,55,105,41,61
52,20,59,212,35,124
53,21,88,176,43,122
54,37,64,161,58,130
55,25,58,147,70,150
56,36,62,142,70,140
57,46,65,130,85,124
58,37,76,123,97,117
59,42,71,125,99,113
60,58,84,108,85,115
61,47,75,121,92,115
62,41,72,115,82,140
63,44,76,128,81,121
64,22,43,86,47,94
65,25,61,155,55,154
66,26,73,161,66,124
67,27,56,126,96,145
68,31,59,123,80,157
69,30,56,135,77,152
70,36,71,132,75,136
71,28,57,130,89,146
72,24,76,111,91,148
73,11,37,131,125,146
74,12,39,128,124,147
75,12,45,113,142,138
76,23,43,118,140,126
77,15,48,121,152,114
78,5,34,117,133,161
79,14,49,121,118,148
80,22,35,125,152,116
81,21,48,97,150,134
82,17,37,98,163,135
83,17,52,85,147,149
84,21,48,112,132,137
85,22,42,100,136,150
86,25,47,89,132,157
87,24,81,97,116,132
88,31,57,108,116,138
89,38,54,92,123,143
90,26,47,111,128,138
91,33,64,111,124,118
92,30,63,111,133,113
93,31,42,87,148,142
94,34,53,112,114,137
95,41,61,104,124,120
96,40,68,101,113,128
97,36,82,105,122,105
98,43,80,90,120,117
99,43,65,104,128,110
100,31,66,106,113,134
101,46,78,92,115,119
102,32,81,82,129,126
103,20,25,46,49,36
104,46,77,93,128,106
105,45,70,113,118,104
106,59,62,108,120,101
107,35,71,111,105,128
108,48,69,103,121,109
109,26,85,102,121,116
110,40,65,103,131,111
111,35,78,101,124,112
112,35,78,92,142,103
113,50,75,87,131,107
114,38,85,89,126,112
115,41,77,108,112,112
116,43,71,109,117,110
117,45,74,95,113,123
118,47,66,116,125,96
119,48,81,112,111,98
120,48,60,118,113,111
121,47,62,109,113,119
122,52,74,120,119,85
123,47,78,106,107,112
124,43,69,126,116,96
125,56,70,98,120,106
126,52,81,106,106,105
127,59,77,101,115,98
128,51,74,103,114,108
129,47,75,114,115,99
