episode,action_0,action_1,action_2,action_3,action_4
1,83,75,82,112,98
2,70,100,128,60,92
3,90,83,97,96,84
4,68,108,126,73,75
5,78,124,105,83,60
6,83,114,119,62,72
7,100,150,79,75,46
8,58,182,108,58,44
9,77,167,117,58,31
10,74,165,116,62,33
11,47,63,79,46,22
12,106,127,132,57,28
13,104,144,133,47,22
14,83,160,147,45,15
15,69,177,127,50,27
16,62,174,135,58,21
17,50,186,150,52,12
18,63,164,146,65,12
19,67,164,137,73,9
20,52,207,135,45,11
21,64,178,156,40,12
22,48,207,112,70,13
23,29,188,151,68,14
24,32,217,134,60,7
25,31,233,108,74,4
26,30,265,95,54,6
27,17,239,102,84,8
28,28,233,93,92,4
29,38,215,63,121,13
30,40,175,77,152,6
31,30,211,60,143,6
32,31,162,101,141,15
33,30,185,110,116,9
34,32,162,116,114,26
35,32,165,107,127,19
36,19,169,83,162,17
37,14,170,74,176,16
38,13,153,69,212,3
39,10,159,65,208,8
40,13,132,72,224,9
41,14,120,62,248,6
42,1,108,69,270,2
43,10,83,51,297,9
44,6,90,65,286,3
45,2,65,68,311,4
46,4,57,95,293,1
47,2,51,62,332,3
48,2,56,70,321,1
49,2,53,81,314,0
50,3,37,92,317,1
51,0,41,102,307,0
52,1,35,117,297,0
53,1,39,94,316,0
54,2,47,112,288,1
55,5,37,86,322,0
56,0,35,92,323,0
57,1,47,108,293,1
58,0,29,130,290,1
59,0,25,104,321,0
60,1,22,134,293,0
61,2,25,104,319,0
62,2,30,103,314,1
63,1,29,127,292,1
64,2,29,140,278,1
65,1,34,116,299,0
66,1,23,109,317,0
67,1,22,72,355,0
68,2,51,107,289,1
69,2,39,103,303,3
70,1,25,100,324,0
71,2,25,87,333,3
72,1,23,78,343,5
73,1,19,52,377,1
74,0,25,56,369,0
75,2,19,70,359,0
76,0,28,64,358,0
77,0,22,75,353,0
78,1,39,66,343,1
79,5,20,86,339,0
80,0,29,70,350,1
81,1,16,46,387,0
82,0,10,38,402,0
83,1,16,51,382,0
84,1,21,44,381,3
85,1,8,26,415,0
86,0,8,24,418,0
87,0,3,30,416,1
88,0,9,30,411,0
89,0,10,26,414,0
90,0,5,28,416,1
91,0,1,36,413,0
92,0,4,20,426,0
93,0,0,26,424,0
94,0,3,36,411,0
95,0,3,18,429,0
96,0,2,20,428,0
97,0,8,23,419,0
98,0,12,43,395,0
99,0,7,34,409,0
100,1,10,37,402,0
101,2,12,46,388,2
102,0,11,45,394,0
103,1,12,49,387,1
104,3,19,54,373,1
105,1,8,67,372,2
106,2,10,69,368,1
107,0,10,52,388,0
108,0,19,53,378,0
109,0,9,43,398,0
110,0,9,59,382,0
111,0,16,51,383,0
112,3,15,63,369,0
113,1,26,59,364,0
114,1,19,58,372,0
115,0,29,36,385,0
116,0,17,41,392,0
117,0,15,41,394,0
118,1,12,36,401,0
119,0,16,25,409,0
120,1,15,39,394,1
121,0,10,29,408,3
122,0,17,34,399,0
123,0,15,31,403,1
124,0,8,44,396,2
125,0,17,21,412,0
126,1,12,43,394,0
127,2,8,30,409,1
128,0,13,46,391,0
129,0,7,24,419,0
130,0,6,23,420,1
131,0,4,29,417,0
132,0,2,21,427,0
133,0,7,27,416,0
134,0,2,24,424,0
135,0,5,26,419,0
136,0,13,31,406,0
137,0,10,19,421,0
138,0,7,20,422,1
139,0,11,23,416,0
140,0,4,17,429,0
141,0,4,37,408,1
142,0,9,15,426,0
143,0,4,21,425,0
144,0,5,15,430,0
145,0,0,15,435,0
146,0,5,17,428,0
147,0,3,13,434,0
148,0,6,13,431,0
149,0,7,7,436,0
150,0,3,9,438,0
151,0,2,5,443,0
152,0,0,4,446,0
153,0,1,0,449,0
154,0,0,3,447,0
155,0,0,1,449,0
156,0,1,0,449,0
157,0,0,1,449,0
158,0,0,0,450,0
159,0,0,2,448,0
160,0,1,4,445,0
161,0,2,4,444,0
162,0,2,4,444,0
163,0,0,4,446,0
164,0,4,8,438,0
165,0,2,4,444,0
166,0,0,6,444,0
167,0,1,7,442,0
168,0,4,12,434,0
169,0,2,11,437,0
170,0,3,12,435,0
171,0,5,11,434,0
172,0,7,18,425,0
173,0,10,19,421,0
174,0,14,20,416,0
175,1,18,23,408,0
176,0,5,21,424,0
177,0,8,21,421,0
178,0,8,27,414,1
179,0,9,13,427,1
180,0,10,25,414,1
181,1,20,13,415,1
182,0,12,17,421,0
183,0,11,18,420,1
184,1,9,12,427,1
185,0,13,23,414,0
186,0,14,27,409,0
187,0,13,18,419,0
188,0,10,26,412,2
189,0,8,29,413,0
190,0,3,24,421,2
191,1,5,26,417,1
192,0,4,23,423,0
193,1,3,28,418,0
194,3,12,26,409,0
195,7,8,24,410,1
196,3,14,24,407,2
197,3,13,29,404,1
198,2,9,22,416,1
199,3,12,24,409,2
200,0,4,26,417,3
201,1,2,22,425,0
202,0,1,12,437,0
203,0,6,5,438,1
204,0,2,10,438,0
205,0,2,12,436,0
206,0,0,10,440,0
207,0,1,2,447,0
208,0,5,12,433,0
209,0,2,9,438,1
