episode,action_0,action_1,action_2
1,62,80,58
2,9,18,17
3,86,49,65
4,62,68,70
5,62,67,71
6,67,67,66
7,55,61,84
8,77,54,69
9,15,14,20
10,13,16,11
11,49,58,74
12,63,58,79
13,61,74,65
14,79,64,57
15,58,66,76
16,63,62,75
17,54,73,73
18,61,54,85
19,60,66,74
20,8,13,12
21,56,65,79
22,69,53,78
23,69,62,69
24,72,59,69
25,61,63,76
26,59,53,59
27,67,60,73
28,9,11,11
29,78,57,65
30,65,65,70
31,68,65,67
32,75,61,64
33,62,64,74
34,30,39,45
35,65,68,67
36,70,63,67
37,28,33,37
38,60,55,54
39,57,64,79
40,41,47,33
41,58,55,61
42,64,64,72
43,57,73,70
44,60,70,70
45,71,58,71
46,65,68,67
47,60,61,79
48,63,57,80
49,64,56,80
50,73,62,65
51,51,42,50
52,13,7,9
53,20,19,23
54,66,60,74
55,66,66,68
56,67,63,70
57,67,60,73
58,21,15,23
59,70,71,59
60,56,74,61
61,61,75,64
62,58,68,74
63,40,24,39
64,65,66,69
65,75,60,65
66,73,68,59
67,64,69,67
68,64,65,71
69,56,68,76
70,67,67,66
71,12,9,18
72,58,66,76
73,69,65,66
74,9,12,13
75,68,67,65
76,34,30,34
77,16,24,27
78,61,66,73
79,68,68,64
80,65,59,76
81,66,60,74
82,66,63,71
83,62,58,80
84,32,34,38
85,35,28,37
86,66,66,68
87,67,58,75
88,65,70,65
89,64,62,74
90,54,82,64
91,6,9,7
92,66,60,74
93,57,60,83
94,6,3,3
95,55,71,74
96,44,46,65
97,50,81,69
98,54,56,63
99,50,47,48
100,66,69,65
101,63,59,78
102,67,68,65
103,12,11,12
104,12,5,7
105,65,61,74
106,62,53,85
107,61,53,86
108,16,13,15
109,68,76,56
110,68,62,70
111,55,50,85
112,14,20,27
113,66,56,78
114,30,47,53
115,73,56,71
116,63,59,78
117,63,55,62
118,69,54,77
119,62,65,73
120,65,67,68
121,56,63,81
122,37,35,44
123,58,68,74
124,21,15,18
125,58,72,70
126,16,10,11
127,57,72,71
128,61,73,66
129,56,60,84
130,52,73,75
131,56,61,76
132,69,62,69
133,5,5,7
134,39,34,56
135,26,25,21
136,72,62,66
137,57,60,47
138,8,13,9
139,53,58,89
140,34,30,21
141,4,9,10
142,55,57,88
143,53,69,78
144,53,62,85
145,67,62,71
146,42,35,49
147,59,60,81
148,30,25,37
149,74,48,76
150,11,9,11
151,38,28,44
152,71,42,87
153,18,13,23
154,61,57,82
155,67,57,76
156,74,52,74
157,57,72,71
158,51,70,79
159,71,62,67
160,57,64,79
161,67,70,63
162,64,61,75
163,64,63,73
164,68,69,63
165,63,74,63
166,72,74,54
167,51,68,66
168,72,67,61
169,7,4,9
170,72,62,66
171,65,57,78
172,72,68,60
173,29,33,36
174,58,66,76
175,21,18,26
176,78,50,72
177,73,59,68
178,59,71,70
179,51,40,48
180,55,70,75
181,24,29,39
182,67,59,74
183,44,41,53
184,45,55,53
185,59,63,78
186,52,68,80
187,13,20,21
188,64,59,77
189,8,14,18
190,68,65,67
191,79,58,63
192,70,53,77
193,16,17,19
194,72,51,77
195,61,68,71
196,75,61,64
197,67,63,70
198,61,62,77
199,62,71,67
200,60,67,73
201,37,36,40
202,42,36,46
203,71,72,57
204,1,0,2
205,5,5,14
206,53,75,72
207,3,5,5
208,27,33,28
209,65,56,79
210,55,61,84
211,18,13,34
212,66,53,81
213,66,59,75
214,50,59,91
215,58,62,80
216,6,11,17
217,17,28,35
218,56,52,92
219,62,57,81
220,56,65,79
221,40,78,82
222,3,2,5
223,2,4,6
224,55,66,79
225,44,32,50
226,53,55,74
227,56,54,90
228,57,63,80
229,60,59,81
230,35,37,68
231,64,52,84
232,56,54,77
233,55,56,89
234,54,69,77
235,66,48,86
236,66,53,81
237,69,54,77
238,66,63,71
239,69,66,65
240,48,83,69
241,57,67,76
242,74,58,68
243,63,67,70
244,71,66,63
245,68,66,66
246,53,47,58
247,9,8,8
248,47,39,38
249,63,56,81
250,63,75,62
251,36,17,32
252,35,28,37
253,59,65,59
254,67,61,72
255,25,29,34
256,61,70,69
257,4,7,6
258,66,58,68
259,69,54,77
260,56,63,81
261,52,76,72
262,77,53,70
263,63,65,72
264,57,55,88
265,69,56,75
266,50,65,85
267,66,58,76
268,61,44,55
269,59,66,75
270,58,62,72
271,65,69,66
272,32,20,27
273,28,17,38
274,64,68,68
275,67,58,75
276,62,75,63
277,18,13,15
278,51,64,85
279,62,61,77
280,70,59,71
281,61,61,76
282,57,65,78
283,70,72,58
284,56,67,77
285,13,15,15
286,60,66,74
287,65,66,69
288,65,59,76
289,61,66,67
290,67,62,71
291,64,63,73
292,66,55,79
293,55,74,71
294,59,56,85
295,70,71,59
296,52,47,65
297,69,67,64
298,57,67,76
299,61,69,70
300,52,57,91
301,51,61,71
302,57,73,70
303,11,13,13
304,64,68,68
305,71,70,59
306,71,62,49
307,64,49,63
308,65,67,68
309,71,58,71
310,75,52,73
311,63,80,57
312,62,69,69
313,44,41,48
314,60,57,83
315,60,60,58
316,60,77,63
317,55,68,77
318,23,30,19
319,5,15,11
320,69,55,76
321,78,71,51
322,75,58,67
323,56,50,94
324,59,71,70
325,71,58,71
326,74,58,68
327,73,58,69
328,65,76,59
329,25,32,39
330,65,66,69
331,55,70,75
332,64,72,64
333,61,70,69
334,42,43,52
335,6,15,16
336,51,67,82
337,59,64,77
338,64,71,65
339,66,57,77
340,77,60,63
341,25,22,41
342,71,57,72
343,63,63,74
344,46,51,65
345,61,56,69
346,54,77,69
347,12,16,10
348,72,61,67
349,65,56,79
350,60,56,84
351,14,14,14
352,23,26,25
353,72,64,64
354,68,62,70
355,62,69,69
356,14,18,20
357,62,76,62
358,62,56,82
359,37,34,50
360,63,67,70
361,68,64,68
362,67,65,68
363,20,20,28
364,64,76,60
365,67,60,73
366,57,54,58
367,47,52,53
368,58,69,73
369,61,62,77
370,70,68,62
371,60,65,75
372,67,72,61
373,61,67,72
374,63,64,73
375,62,60,78
376,27,30,22
377,66,54,80
378,60,60,80
379,51,46,57
380,71,57,72
381,64,67,69
382,0,3,4
383,59,70,71
384,19,16,24
385,55,62,83
386,67,64,69
387,67,56,77
388,68,60,72
389,51,76,73
390,56,77,67
391,64,63,73
392,33,39,41
393,62,58,80
394,24,15,27
395,62,68,70
396,68,62,70
397,65,73,62
398,49,63,57
399,69,57,74
400,18,24,29
401,24,22,27
402,67,55,78
403,55,67,78
404,57,71,72
405,1,5,5
406,56,64,80
407,38,42,45
408,68,74,58
409,66,61,71
410,63,70,67
411,62,58,80
412,3,2,13
413,53,53,94
414,59,69,72
415,49,61,90
416,23,23,28
417,80,54,66
418,60,46,44
419,71,62,67
420,67,70,63
421,52,71,77
422,12,12,14
423,56,79,65
424,41,41,54
425,47,38,41
426,66,55,79
427,17,23,17
428,63,67,70
429,54,73,73
430,28,23,28
431,54,74,72
432,73,72,55
433,39,33,37
434,52,69,79
435,61,58,81
436,72,55,73
437,42,36,76
438,68,57,75
439,63,65,72
440,67,62,71
441,0,0,5
442,67,68,65
443,31,23,21
444,61,59,80
445,60,63,77
446,56,68,76
447,60,66,74
448,51,64,85
449,8,10,18
450,58,64,78
451,62,52,84
452,18,15,41
453,52,64,84
454,10,11,14
455,39,21,56
456,61,63,76
457,45,52,69
458,48,43,51
459,64,70,66
460,71,57,72
461,55,62,72
462,30,47,50
463,65,60,75
464,58,62,80
465,68,62,70
466,40,63,60
467,62,61,77
468,66,66,68
469,76,57,67
470,77,44,79
471,29,35,40
472,32,26,35
473,55,68,77
474,66,64,70
475,55,71,74
476,13,12,23
477,58,68,74
478,42,51,56
479,14,16,24
480,38,39,51
481,69,53,78
482,63,60,77
483,71,60,69
484,48,31,48
485,61,66,73
486,38,43,62
487,81,52,67
488,73,53,74
489,26,24,33
490,58,62,80
491,17,16,30
492,62,66,72
493,68,60,72
494,54,49,55
495,64,59,77
496,24,14,37
497,68,63,69
498,70,68,62
499,68,55,77
500,65,68,67
501,29,32,40
502,62,63,75
503,63,56,81
504,72,55,73
505,19,15,22
506,63,63,74
507,70,68,62
508,55,62,67
509,24,18,28
510,68,75,57
511,64,64,72
512,63,67,70
513,60,70,70
514,55,77,68
515,69,60,71
516,69,66,65
517,64,59,77
518,55,64,81
519,62,69,69
520,60,68,72
521,64,68,68
522,65,73,62
523,69,69,62
524,57,84,59
525,3,2,5
526,63,71,66
527,49,44,55
528,58,56,86
529,65,68,67
530,74,66,60
531,59,68,73
532,48,80,72
533,26,42,27
534,49,59,62
535,41,32,33
536,31,36,31
537,66,65,69
538,47,45,48
539,61,62,77
540,53,47,76
541,70,63,67
542,47,55,53
543,57,49,75
544,63,53,84
545,65,70,65
546,72,61,67
547,73,61,66
548,67,55,78
549,60,58,82
550,40,35,39
551,9,9,12
552,7,7,13
553,68,58,74
554,35,23,35
555,32,31,50
556,53,70,77
557,60,63,77
558,77,57,66
559,76,63,61
560,61,76,63
561,18,13,13
562,48,56,39
563,27,30,37
564,65,71,64
565,71,64,65
566,63,71,66
567,25,31,35
568,28,27,35
569,8,9,8
570,67,52,81
571,63,68,69
572,65,51,84
573,3,5,7
574,59,63,78
575,71,39,90
576,4,2,7
577,2,4,5
578,38,48,48
579,52,55,70
580,39,50,61
581,60,64,76
582,60,60,80
583,52,58,90
584,56,60,84
585,75,49,76
586,31,41,53
587,60,56,84
588,26,21,31
589,55,77,68
590,19,22,24
591,61,60,79
592,4,3,6
593,30,24,34
594,62,72,66
595,73,55,72
596,56,55,74
597,59,57,84
598,59,68,73
599,63,68,69
600,23,29,44
601,71,57,72
602,58,53,89
603,85,53,62
604,62,72,66
605,60,57,83
606,55,65,80
607,70,64,66
608,75,66,59
609,60,63,77
610,68,57,75
611,14,18,23
612,63,63,74
613,58,63,79
614,46,43,40
615,73,68,59
616,54,51,51
617,4,12,14
618,63,64,73
619,24,23,29
620,56,74,70
621,70,63,67
622,66,60,74
623,66,74,60
624,74,66,60
625,16,14,16
626,73,57,70
627,60,61,79
628,67,62,71
629,68,54,78
630,72,52,76
631,58,72,70
632,55,73,72
633,71,68,61
634,37,33,41
635,72,66,62
636,27,20,39
637,30,66,54
638,52,66,63
639,70,74,56
640,67,74,59
641,62,62,76
642,55,78,67
643,40,42,46
644,58,71,71
645,61,65,74
646,62,56,82
647,67,66,67
648,68,53,79
649,64,69,67
650,19,30,14
651,27,25,18
652,56,47,52
653,56,61,59
654,55,61,70
655,63,62,75
656,66,69,65
657,70,76,54
658,72,52,76
659,59,71,70
660,76,62,62
661,53,78,69
662,71,60,69
663,44,46,53
664,61,61,78
665,69,75,56
666,81,61,58
667,63,69,68
668,66,68,66
669,70,74,56
670,68,62,62
671,15,13,16
672,69,65,66
673,35,32,46
674,67,74,59
675,66,65,69
676,48,55,80
677,69,69,62
678,14,15,17
679,55,62,69
680,74,70,56
681,63,66,71
682,71,62,67
683,65,50,85
684,21,17,22
685,55,82,63
686,60,69,71
687,78,60,62
688,9,26,23
689,61,63,76
690,69,64,67
691,62,72,66
692,69,60,71
693,61,73,66
694,50,72,78
695,74,57,69
696,64,63,73
697,68,60,62
698,43,42,49
699,27,14,22
700,68,57,75
701,67,75,58
702,62,65,73
703,24,41,39
704,73,74,53
705,69,62,69
706,70,50,80
707,63,72,65
708,66,62,72
709,59,69,72
710,2,4,8
711,32,42,38
712,72,61,67
713,31,28,28
714,59,74,67
715,74,66,60
716,71,58,71
717,68,63,69
718,72,63,65
719,68,55,69
720,65,68,67
721,66,66,68
722,11,12,14
723,54,67,79
724,58,61,81
725,18,21,26
726,58,62,80
727,24,30,29
728,66,63,71
729,68,44,88
730,78,52,70
731,67,67,66
732,54,49,66
733,75,60,65
734,60,63,77
735,67,69,64
736,58,68,74
737,37,27,41
738,77,54,69
739,65,62,73
740,54,68,70
741,58,72,70
742,71,56,73
743,64,72,64
744,72,61,67
745,35,29,31
746,70,70,60
747,64,60,76
748,56,67,77
749,65,67,68
750,21,15,21
751,58,65,77
752,60,60,80
753,74,64,62
754,20,22,30
755,65,57,78
756,64,61,75
757,28,39,35
758,60,77,63
759,19,22,26
760,67,54,79
761,63,62,75
762,61,56,83
763,63,60,77
764,58,63,79
765,13,20,19
766,57,68,75
767,56,50,94
768,68,59,73
769,54,64,82
770,66,61,73
771,67,69,60
772,47,44,41
773,34,35,38
774,1,0,2
775,71,65,64
776,71,65,64
777,74,63,63
778,65,66,69
779,73,64,63
780,24,22,20
781,41,40,40
782,58,58,84
783,45,43,49
784,68,60,72
785,61,55,84
786,69,59,72
787,70,60,70
788,53,69,78
789,58,60,82
790,41,32,66
791,29,34,40
792,59,63,78
793,22,18,27
794,3,1,5
795,66,53,81
796,69,62,69
797,37,51,43
798,72,56,72
799,4,9,8
800,13,9,11
801,57,70,73
802,66,55,79
803,20,15,22
804,62,61,77
805,49,68,83
806,61,49,90
807,61,56,83
808,70,60,70
809,33,15,41
810,52,57,71
811,63,61,76
812,61,67,72
813,61,67,72
814,65,59,76
815,64,54,82
816,35,34,50
817,52,65,83
818,65,45,71
819,70,63,67
820,61,58,81
821,58,61,81
822,64,53,83
823,19,17,19
824,7,7,6
825,67,60,73
826,64,68,68
827,8,12,11
828,40,35,51
829,26,24,26
830,55,67,78
831,61,61,78
832,65,69,66
833,61,60,79
834,72,49,79
835,70,60,70
836,60,57,83
837,62,55,83
838,27,31,29
839,62,59,79
840,63,64,73
841,55,62,83
842,22,16,25
843,63,70,67
844,35,42,45
845,66,62,72
846,68,63,69
847,58,56,86
848,45,37,57
849,45,35,56
850,69,68,63
851,52,75,73
852,73,70,57
853,49,48,57
854,72,57,71
855,32,46,40
856,61,61,78
857,13,16,30
858,60,73,67
859,62,63,75
860,65,64,71
861,64,57,79
862,32,52,58
863,68,62,70
864,55,73,72
865,8,7,12
866,9,8,11
867,61,61,78
868,72,68,60
869,69,58,73
870,58,46,69
871,74,54,72
872,5,8,16
873,50,34,45
874,62,51,87
875,63,69,68
876,16,16,22
877,65,67,68
878,76,52,72
879,13,14,14
880,7,6,8
881,60,42,59
882,54,72,74
883,71,65,64
884,69,61,70
885,14,24,20
886,67,64,69
887,72,63,65
888,62,64,66
889,79,57,64
890,65,68,67
891,65,65,70
892,60,68,72
893,4,8,10
894,70,62,68
895,46,64,90
896,60,65,75
897,61,69,70
898,61,56,79
899,59,53,78
900,57,61,82
901,59,65,76
902,69,63,68
903,64,60,76
904,64,54,82
905,63,62,75
906,62,53,85
907,65,60,75
908,36,31,45
909,56,67,77
910,65,72,63
911,60,60,80
912,19,25,22
913,34,30,51
914,66,51,83
915,50,44,49
916,65,57,59
917,49,38,53
918,22,24,21
919,8,9,13
920,64,69,67
921,31,28,35
922,70,57,73
923,63,57,80
924,77,55,68
925,9,13,21
926,26,26,35
927,68,66,66
928,8,7,9
929,56,68,76
930,67,68,65
931,57,65,78
932,10,13,10
933,64,66,66
934,42,25,52
935,69,66,65
936,54,67,79
937,12,9,15
938,58,64,78
939,65,51,84
940,67,56,77
941,61,65,74
942,71,53,76
943,55,65,80
944,71,53,76
945,63,65,72
946,40,44,42
947,52,77,71
948,2,1,7
949,73,64,62
950,78,56,66
951,29,31,38
952,51,74,75
953,2,3,11
954,45,76,79
955,9,11,11
956,73,52,75
957,41,39,47
958,63,67,70
959,36,26,51
960,48,70,82
961,61,71,68
962,67,57,76
963,59,67,74
964,49,61,72
965,59,70,71
966,20,18,23
967,61,59,80
968,66,53,81
969,62,59,79
970,52,70,78
971,50,50,68
972,60,61,79
973,53,71,76
974,62,67,71
975,56,70,74
976,53,51,60
977,11,13,11
978,63,68,69
979,31,44,45
980,23,15,22
981,59,70,71
982,25,16,37
983,63,69,68
984,46,54,60
985,64,56,80
986,54,74,72
987,6,12,19
988,21,21,28
989,21,30,44
990,57,41,54
991,20,33,46
992,65,62,73
993,70,56,74
994,26,21,29
995,67,59,74
996,16,16,25
997,22,16,23
998,69,51,80
999,14,16,25
1000,73,51,76
