episode,reward,steps,success
1,-1.0000000000000007,200,False
2,0.975,5,True
3,-1.0000000000000007,200,False
4,-1.0000000000000007,200,False
5,-1.0000000000000007,200,False
6,-1.0000000000000007,200,False
7,-1.0000000000000007,200,False
8,-1.0000000000000007,200,False
9,-1.0000000000000007,200,False
10,-1.0000000000000007,200,False
11,-1.0000000000000007,200,False
12,-1.0000000000000007,200,False
13,-1.0000000000000007,200,False
14,-1.0000000000000007,200,False
15,-1.0000000000000007,200,False
16,-1.0000000000000007,200,False
17,-1.0000000000000007,200,False
18,-1.0000000000000007,200,False
19,-1.0000000000000007,200,False
20,-1.0000000000000007,200,False
21,-1.0000000000000007,200,False
22,-1.0000000000000007,200,False
23,-1.0000000000000007,200,False
24,-1.0000000000000007,200,False
25,-1.0000000000000007,200,False
26,-1.0000000000000007,200,False
27,-1.0000000000000007,200,False
28,-1.0000000000000007,200,False
29,-1.0000000000000007,200,False
30,-1.0000000000000007,200,False
31,-1.0000000000000007,200,False
32,-1.0000000000000007,200,False
33,-1.0000000000000007,200,False
34,-1.0000000000000007,200,False
35,-1.0000000000000007,200,False
36,-1.0000000000000007,200,False
37,-1.0000000000000007,200,False
38,-1.0000000000000007,200,False
39,-1.0000000000000007,200,False
40,-1.0000000000000007,200,False
41,-1.0000000000000007,200,False
42,-1.0000000000000007,200,False
43,-1.0000000000000007,200,False
44,0.965,7,True
45,-1.0000000000000007,200,False
46,-1.0000000000000007,200,False
47,-1.0000000000000007,200,False
48,-1.0000000000000007,200,False
49,-1.0000000000000007,200,False
50,-1.0000000000000007,200,False
