episode,reward,steps,success
1,0.96,8,True
2,0.975,5,True
3,0.935,13,True
4,0.97,6,True
5,0.97,6,True
6,0.96,8,True
7,0.945,11,True
8,0.94,12,True
9,0.955,9,True
10,0.95,10,True
11,0.94,12,True
12,0.95,10,True
13,0.96,8,True
14,0.94,12,True
15,0.97,6,True
16,0.955,9,True
17,0.975,5,True
18,0.95,10,True
19,0.97,6,True
20,0.95,10,True
21,0.955,9,True
22,0.93,14,True
23,0.945,11,True
24,0.93,14,True
25,0.94,12,True
26,0.935,13,True
27,0.95,10,True
28,0.94,12,True
29,0.955,9,True
30,0.955,9,True
31,0.98,4,True
32,0.95,10,True
33,0.965,7,True
34,0.95,10,True
35,0.975,5,True
36,0.945,11,True
37,0.945,11,True
38,0.965,7,True
39,0.975,5,True
40,0.965,7,True
41,0.96,8,True
42,0.935,13,True
43,0.95,10,True
44,0.965,7,True
45,0.95,10,True
46,0.96,8,True
47,0.97,6,True
48,0.985,3,True
49,0.95,10,True
50,0.96,8,True
