episode,action_0,action_1,action_2
1,49,54,57
2,71,70,59
3,29,41,33
4,75,64,61
5,27,15,14
6,79,54,67
7,65,66,69
8,75,60,65
9,55,75,70
10,67,67,66
11,15,16,18
12,67,67,66
13,67,74,59
14,61,70,69
15,79,56,65
16,63,58,79
17,84,58,58
18,52,57,53
19,46,94,60
20,61,78,61
21,43,41,36
22,62,77,61
23,42,36,49
24,47,52,46
25,60,72,68
26,65,69,66
27,65,61,74
28,71,70,59
29,59,79,62
30,63,76,61
31,61,72,67
32,57,60,83
33,66,58,76
34,55,63,82
35,64,73,63
36,8,12,10
37,57,66,77
38,67,62,71
39,64,50,75
40,76,56,68
41,46,33,39
42,77,59,64
43,66,72,62
44,70,59,71
45,24,25,25
46,71,73,56
47,65,74,61
48,8,7,12
49,75,56,69
50,63,66,71
51,67,69,64
52,63,70,67
53,58,76,66
54,64,81,55
55,28,28,34
56,75,59,66
57,17,21,22
58,59,80,61
59,71,57,72
60,15,25,27
61,67,71,62
62,30,36,37
63,68,67,65
64,59,77,64
65,85,61,54
66,71,53,76
67,74,59,67
68,15,7,14
69,63,59,78
70,61,74,65
71,61,68,71
72,55,76,69
73,70,69,61
74,63,60,77
75,63,51,60
76,62,72,66
77,24,22,21
78,74,58,68
79,73,60,67
80,59,68,73
81,68,65,67
82,72,65,63
83,59,64,77
84,51,52,73
85,40,21,31
86,69,65,66
87,33,56,47
88,63,53,68
89,58,70,72
90,9,15,10
91,70,61,69
92,19,16,18
93,15,18,14
94,70,74,56
95,23,28,37
96,29,40,32
97,10,8,19
98,64,73,63
99,65,70,65
100,33,31,38
101,45,42,51
102,75,58,67
103,56,58,66
104,49,44,47
105,20,29,26
106,17,24,27
107,32,20,24
108,65,60,75
109,23,21,11
110,75,58,67
111,71,71,58
112,29,26,32
113,56,66,78
114,11,15,16
115,3,2,4
116,22,20,23
117,15,25,20
118,66,70,64
119,18,20,15
120,82,49,69
121,15,19,15
122,15,10,14
123,41,48,55
124,15,18,18
125,16,18,9
126,52,73,75
127,73,54,73
128,38,26,24
129,23,28,31
130,70,68,62
131,47,49,34
132,41,33,54
133,52,49,60
134,15,14,17
135,69,64,67
136,61,60,71
137,62,70,68
138,72,58,70
139,69,65,52
140,23,18,28
141,62,63,75
142,61,55,50
143,6,3,15
144,6,15,15
145,61,72,67
146,70,58,57
147,29,27,26
148,12,12,11
149,68,72,60
150,24,18,15
151,25,22,20
152,19,13,18
153,8,9,12
154,62,63,75
155,62,47,53
156,17,16,19
157,56,58,68
158,56,68,58
159,21,15,22
160,3,8,5
161,13,14,16
162,20,23,21
163,18,14,10
164,48,74,78
165,67,67,66
166,15,11,12
167,32,38,31
168,54,48,41
169,28,29,29
170,67,62,71
171,45,33,39
172,16,13,22
173,27,41,38
174,59,67,74
175,65,49,43
176,65,58,57
177,47,34,41
178,58,77,65
179,46,41,42
180,61,73,66
181,29,27,30
182,42,38,42
183,16,13,14
184,56,65,79
185,66,68,66
186,4,3,7
187,68,61,71
188,73,59,68
189,63,81,56
190,75,63,62
191,67,60,73
192,58,70,63
193,38,36,40
194,74,62,64
195,50,65,85
196,65,51,84
197,39,41,40
198,55,45,35
199,66,70,64
200,28,38,36
201,61,73,66
202,11,15,15
203,65,70,65
204,71,65,64
205,66,65,69
206,19,17,17
207,29,16,21
208,12,21,26
209,2,2,8
210,66,72,62
211,37,51,42
212,67,52,81
213,56,67,58
214,35,39,28
215,76,61,63
216,15,21,25
217,55,70,68
218,33,36,47
219,12,16,6
220,68,66,66
221,60,51,56
222,19,37,32
223,69,53,66
224,46,51,47
225,80,51,69
226,49,48,70
227,9,16,19
228,68,68,64
229,56,68,75
230,70,72,58
231,9,12,11
232,2,0,4
233,71,61,68
234,67,63,70
235,13,18,21
236,69,76,55
237,73,64,63
238,51,62,52
239,57,45,54
240,4,3,4
241,60,45,46
242,6,5,8
243,17,26,21
244,69,65,66
245,55,67,57
246,68,71,61
247,26,33,26
248,16,21,31
249,12,15,22
250,74,59,67
251,47,52,46
252,71,52,56
253,24,24,33
254,72,65,63
255,55,78,67
256,62,85,53
257,75,56,69
258,63,66,71
259,48,68,47
260,15,20,15
261,59,68,73
262,28,38,39
263,46,43,58
264,59,70,71
265,76,63,61
266,8,3,4
267,10,3,18
268,8,4,11
269,68,75,57
270,4,5,11
271,20,20,25
272,88,56,56
273,61,72,67
274,11,25,29
275,71,74,55
276,12,10,14
277,19,28,20
278,69,66,65
279,17,25,24
280,67,78,55
281,59,80,61
282,61,71,68
283,27,18,19
284,57,63,54
285,14,13,9
286,58,66,76
287,37,34,27
288,23,17,23
289,67,67,66
290,40,46,41
291,4,3,5
292,62,68,70
293,3,7,10
294,66,62,72
295,62,57,81
296,61,76,63
297,75,59,66
298,71,72,57
299,21,23,17
300,72,60,68
301,68,74,58
302,16,17,19
303,86,44,70
304,11,10,13
305,12,16,11
306,71,65,64
307,61,66,73
308,4,3,6
309,14,12,16
310,77,47,62
311,56,71,73
312,4,9,12
313,15,24,31
314,42,30,40
315,61,55,57
316,74,71,55
317,10,9,8
318,59,51,54
319,11,7,18
320,1,2,7
321,3,10,8
322,69,69,62
323,12,22,29
324,62,75,63
325,8,5,18
326,17,12,12
327,9,8,14
328,43,49,40
329,7,6,12
330,13,12,12
331,68,77,55
332,29,23,26
333,29,29,24
334,26,31,32
335,53,54,56
336,52,51,39
337,9,4,8
338,7,11,12
339,58,71,71
340,25,11,16
341,67,71,52
342,2,2,7
343,5,8,10
344,9,5,6
345,8,7,11
346,16,17,25
347,3,2,10
348,8,9,9
349,74,64,62
350,45,39,45
351,10,16,27
352,12,17,19
353,3,8,12
354,23,25,22
355,11,10,12
356,9,8,9
357,2,6,10
358,3,3,7
359,15,23,28
360,15,5,12
361,48,46,33
362,55,86,59
363,75,66,59
364,10,10,20
365,2,1,5
366,61,81,58
367,11,10,14
368,28,41,44
369,47,38,48
370,5,4,8
