episode,reward,steps,success
1,-1.0000000000000007,200,False
2,-1.0000000000000007,200,False
3,-1.0000000000000007,200,False
4,-1.0000000000000007,200,False
5,0.95,10,True
6,0.915,17,True
7,-1.0000000000000007,200,False
8,-1.0000000000000007,200,False
9,-1.0000000000000007,200,False
10,-1.0000000000000007,200,False
11,-1.0000000000000007,200,False
12,0.95,10,True
13,-1.0000000000000007,200,False
14,-1.0000000000000007,200,False
15,-1.0000000000000007,200,False
16,0.915,17,True
17,-1.0000000000000007,200,False
18,-1.0000000000000007,200,False
19,0.91,18,True
20,-1.0000000000000007,200,False
21,-1.0000000000000007,200,False
22,0.95,10,True
23,-1.0000000000000007,200,False
24,-1.0000000000000007,200,False
25,0.955,9,True
26,-1.0000000000000007,200,False
27,0.905,19,True
28,-1.0000000000000007,200,False
29,-1.0000000000000007,200,False
30,-1.0000000000000007,200,False
31,-1.0000000000000007,200,False
32,-1.0000000000000007,200,False
33,0.905,19,True
34,-1.0000000000000007,200,False
35,0.945,11,True
36,-1.0000000000000007,200,False
37,0.945,11,True
38,0.955,9,True
39,0.945,11,True
40,-1.0000000000000007,200,False
41,0.955,9,True
42,-1.0000000000000007,200,False
43,-1.0000000000000007,200,False
44,-1.0000000000000007,200,False
45,0.965,7,True
46,0.945,11,True
47,0.96,8,True
48,-1.0000000000000007,200,False
49,-1.0000000000000007,200,False
50,0.945,11,True
