episode,action_0,action_1,action_2
1,62,80,58
2,77,62,61
3,64,62,74
4,63,68,69
5,72,71,57
6,60,67,73
7,64,54,82
8,39,29,32
9,54,74,72
10,35,33,45
11,42,51,58
12,60,70,70
13,67,48,85
14,47,65,88
15,63,62,75
16,15,22,31
17,49,64,87
18,55,58,87
19,50,55,95
20,56,47,97
21,58,54,88
22,28,27,36
23,71,56,73
24,55,60,85
25,13,11,19
26,26,23,56
27,5,10,26
28,13,8,138
29,8,11,49
30,33,22,145
31,6,4,26
32,39,34,127
33,31,34,135
34,40,30,108
35,43,54,103
36,48,54,98
37,62,54,84
38,52,66,82
39,70,64,66
40,57,62,81
41,74,72,54
42,62,74,64
43,58,80,62
44,68,63,69
45,72,66,62
46,69,66,65
47,6,9,3
48,31,32,43
49,30,29,32
50,50,56,94
51,47,39,114
52,42,31,66
53,57,51,92
54,16,16,22
55,43,43,114
56,32,34,134
57,41,26,104
58,39,42,119
59,9,15,23
60,62,36,102
61,34,52,114
62,7,15,25
63,22,21,81
64,15,17,63
65,2,5,19
66,16,19,165
67,12,10,61
68,47,26,127
69,35,34,102
70,47,30,75
71,18,15,26
72,46,45,109
73,33,28,67
74,5,3,15
75,19,24,108
76,4,3,20
77,4,8,69
78,5,2,19
79,9,4,165
80,4,2,108
81,1,6,31
82,12,19,148
83,0,1,6
84,8,13,100
85,1,5,13
86,9,4,76
87,7,9,184
88,1,0,8
89,6,2,62
90,1,0,11
91,11,6,141
92,0,1,9
93,12,10,134
94,8,9,71
95,6,9,82
96,10,9,68
97,9,8,37
98,1,4,16
99,1,2,18
100,2,2,13
101,0,1,11
102,4,2,18
103,3,7,37
104,1,3,19
105,5,2,12
106,24,21,149
107,21,18,132
108,21,17,88
109,26,19,84
110,25,23,92
111,0,4,6
112,12,11,62
113,14,10,42
114,22,18,97
115,2,1,15
116,30,20,130
117,2,3,13
118,11,9,42
119,42,22,136
120,35,32,133
121,4,4,13
122,25,18,96
123,7,6,18
124,29,10,88
125,34,36,130
126,38,28,134
127,43,44,113
128,28,23,65
129,12,2,22
130,51,42,100
131,10,14,19
132,48,36,116
133,9,5,26
134,51,36,113
135,38,28,80
136,1,0,11
137,9,4,18
138,14,11,23
139,9,3,16
140,7,2,23
141,30,23,147
142,6,10,56
143,37,34,129
144,13,17,45
145,44,37,119
146,26,23,53
147,38,39,123
148,2,6,12
149,38,37,100
150,48,44,108
151,1,4,6
152,49,26,125
153,32,23,145
154,3,2,11
155,2,0,17
156,33,16,151
157,6,4,12
158,31,18,151
159,9,13,93
160,10,11,104
161,22,24,154
162,4,0,11
163,35,25,140
164,30,30,140
165,4,3,15
166,11,10,32
167,15,12,66
168,4,4,26
169,32,32,136
170,40,47,113
171,12,17,35
172,5,6,24
173,20,12,76
174,7,9,21
175,17,18,42
176,23,40,137
177,18,17,69
178,43,38,119
179,41,40,119
180,51,41,108
181,41,46,83
182,19,22,32
183,39,46,115
184,49,51,100
185,41,52,107
186,45,58,97
187,54,47,99
188,64,55,81
189,30,40,63
190,64,54,82
191,68,49,83
192,63,47,90
193,78,36,86
194,56,63,81
195,71,55,74
196,71,56,73
197,43,56,40
198,49,75,76
199,73,59,68
200,56,64,80
201,67,71,62
202,64,61,75
203,53,45,67
204,67,66,67
205,72,71,57
206,8,17,16
207,70,67,63
208,55,68,77
209,69,55,76
210,7,7,15
211,65,52,83
212,57,52,91
213,64,54,82
214,50,61,87
215,57,60,83
216,69,44,87
217,64,54,82
218,54,66,80
219,64,58,78
220,5,8,10
221,19,29,37
222,7,6,16
223,47,46,107
224,10,6,18
225,30,31,139
226,37,32,131
227,3,6,13
228,29,38,133
229,32,32,136
230,12,14,53
231,37,27,136
232,7,1,21
233,43,30,127
234,47,31,122
235,35,29,109
236,58,35,107
237,48,55,97
238,56,47,97
239,19,13,24
240,53,50,97
241,50,55,89
242,42,58,96
243,35,38,70
244,7,12,18
245,1,2,7
246,3,9,22
247,5,0,5
248,11,3,31
249,19,18,124
250,15,16,108
251,10,3,53
252,22,38,140
253,35,40,125
254,33,49,118
255,20,16,46
256,54,52,94
257,11,6,11
258,52,56,92
259,25,28,77
260,36,53,111
261,23,38,76
262,36,52,112
263,43,40,102
264,45,67,88
265,27,58,78
266,9,23,34
267,12,27,36
268,8,19,20
269,47,38,115
270,32,54,114
271,16,21,57
272,17,18,57
273,39,50,111
274,5,8,24
275,41,42,117
276,2,3,21
277,3,3,11
278,6,4,27
279,28,24,148
280,10,4,38
281,7,7,35
282,14,20,95
283,6,4,36
284,21,33,146
285,25,38,137
286,2,2,19
287,33,31,136
288,1,5,14
289,7,8,13
290,10,5,82
291,5,7,49
292,13,8,73
293,9,6,33
294,6,9,48
295,6,5,61
296,37,36,121
297,41,63,96
298,29,35,74
299,22,33,40
300,52,52,74
301,42,27,62
302,11,16,30
303,55,47,98
304,4,9,18
305,47,38,115
306,7,2,15
307,7,4,12
308,44,32,124
309,33,30,117
310,11,7,38
311,10,12,50
312,11,23,53
313,41,42,117
314,13,12,49
315,17,9,29
316,41,31,128
317,36,42,122
318,36,50,114
319,0,2,4
320,42,25,133
321,30,28,97
322,23,25,95
323,23,31,73
324,39,46,115
325,49,37,114
326,45,42,113
327,4,7,12
328,39,43,118
329,8,3,24
330,45,28,127
331,8,9,48
332,31,35,83
333,50,39,111
334,55,44,101
335,41,46,113
336,4,6,16
337,49,46,105
338,51,41,108
339,37,25,107
340,30,26,51
341,9,10,20
342,42,49,109
343,28,23,56
344,15,16,25
345,32,35,84
346,44,34,90
347,52,50,98
348,57,52,91
349,3,4,13
350,33,38,121
351,54,60,86
352,46,44,110
353,46,43,111
354,47,54,99
355,59,48,93
356,16,15,15
357,41,50,109
358,42,44,86
359,19,9,63
360,5,6,10
361,46,35,119
362,33,32,135
363,1,2,24
364,36,41,123
365,33,49,118
366,43,33,101
367,44,44,112
368,15,17,39
369,42,32,77
370,46,52,102
371,41,52,107
372,49,35,116
373,5,6,18
374,35,58,107
375,3,3,8
376,47,50,103
377,17,13,59
378,46,42,112
379,45,37,118
380,21,19,47
381,9,3,29
382,21,16,61
383,37,32,101
384,0,0,2
385,21,9,112
386,22,16,162
387,12,11,76
388,18,17,122
389,20,29,151
390,30,19,125
391,2,2,12
392,4,2,23
393,38,36,126
394,16,15,61
395,44,48,108
396,15,16,39
397,46,40,114
398,50,31,119
399,15,10,15
400,25,12,30
401,28,11,51
402,57,16,127
403,5,2,18
404,7,5,34
405,14,5,59
406,14,12,79
407,37,30,133
408,32,18,85
409,23,13,54
410,41,22,112
411,52,55,93
412,14,17,33
413,40,53,107
414,48,61,91
415,5,17,26
416,56,60,84
417,43,71,86
418,2,4,4
419,29,53,48
420,42,70,88
421,6,22,39
422,8,16,21
423,42,41,69
424,22,39,105
425,43,56,101
426,54,50,96
427,38,35,127
428,17,13,18
429,38,29,56
430,2,2,6
431,3,8,13
432,5,0,5
433,29,41,130
434,17,35,94
435,3,3,11
436,2,3,28
437,6,5,27
438,5,10,49
439,21,47,132
440,6,26,49
441,1,1,5
442,26,52,122
443,23,61,116
444,0,1,4
445,5,14,33
446,3,12,48
447,3,7,18
448,0,0,6
449,17,35,60
450,4,7,17
451,30,68,102
452,21,42,53
453,38,90,72
454,20,48,43
455,9,28,40
456,25,81,94
457,29,56,94
458,32,47,73
459,38,74,88
460,6,13,16
461,3,5,11
462,39,53,70
463,19,17,19
464,12,26,30
465,49,52,99
466,47,47,106
467,64,46,90
468,3,3,11
469,19,22,51
470,42,44,61
471,8,9,34
472,62,36,83
473,60,23,117
474,67,28,105
475,58,38,73
476,47,39,114
477,14,6,28
478,22,10,29
479,2,1,6
480,81,65,54
481,50,21,30
482,13,7,15
483,98,56,46
484,29,13,21
485,11,8,15
486,88,60,52
487,66,53,77
488,72,32,95
489,11,14,11
490,56,67,62
491,33,37,82
492,3,2,7
493,47,55,98
494,10,9,48
495,14,13,25
496,3,5,12
497,20,27,39
498,6,7,56
499,39,38,47
500,0,1,4
501,11,6,37
502,61,72,67
503,67,91,42
504,41,75,84
505,10,18,15
506,10,19,35
507,24,18,158
508,11,5,21
509,2,5,19
510,36,33,46
511,66,53,81
512,24,21,138
513,22,23,76
514,14,7,26
515,2,4,11
516,68,72,60
517,77,100,23
518,92,71,37
519,46,59,38
520,87,63,34
521,64,81,55
522,19,20,67
523,35,36,38
524,14,16,35
525,4,3,50
526,61,66,73
527,7,15,178
528,12,11,17
529,5,1,9
530,14,8,14
531,14,19,135
532,5,2,20
533,7,15,18
534,10,10,180
535,1,5,43
536,6,7,24
537,4,10,55
538,6,24,94
539,26,65,109
540,24,82,94
541,9,46,89
542,31,63,99
543,4,1,4
544,10,26,19
545,6,13,66
546,20,32,45
547,52,95,53
548,9,35,156
549,16,41,40
550,1,0,9
551,1,0,8
552,14,47,92
553,49,78,73
554,10,11,67
555,6,6,5
556,6,7,9
557,62,113,25
558,66,106,28
559,0,4,6
560,77,104,19
561,5,5,11
562,19,27,101
563,69,78,53
564,92,66,42
565,10,19,13
566,63,65,72
567,36,27,137
568,10,6,24
569,29,12,159
570,4,7,34
571,27,39,134
572,0,0,3
573,25,39,29
574,2,11,19
575,64,70,66
576,2,0,2
577,23,21,52
578,6,8,11
579,9,21,170
580,3,5,15
581,1,1,10
582,0,3,63
583,31,35,134
584,62,51,87
585,76,69,55
586,11,18,75
587,41,34,85
588,13,17,27
589,6,8,104
590,6,4,20
591,35,26,134
592,9,4,22
593,15,12,173
594,20,27,73
595,5,3,41
596,49,29,44
597,9,5,17
598,12,12,17
599,15,10,19
600,26,29,145
601,42,36,122
602,6,3,13
603,0,1,5
604,5,3,20
605,31,38,41
606,52,40,108
607,9,7,34
608,23,23,126
609,5,10,12
610,31,37,70
611,27,23,97
612,10,18,18
613,2,5,21
614,6,12,95
615,33,37,45
616,2,2,5
617,16,8,25
618,23,21,90
619,14,17,62
620,26,19,54
621,0,1,9
622,23,34,41
623,41,45,114
624,84,87,29
625,13,11,10
626,5,7,25
627,1,1,10
628,28,23,88
629,31,43,26
630,39,39,122
631,68,87,45
632,9,9,9
633,69,77,54
634,16,32,33
635,54,69,77
636,26,47,72
637,6,9,35
638,3,6,164
639,31,30,48
640,1,1,7
641,79,91,30
642,75,94,31
643,38,52,110
644,58,73,24
645,72,88,40
646,87,78,35
647,33,38,129
648,57,72,71
649,42,51,29
650,43,68,89
651,31,42,30
652,42,41,117
653,4,1,9
654,3,1,5
655,50,61,68
656,8,10,24
657,22,19,69
658,36,66,98
659,21,38,141
660,15,13,32
661,38,60,40
662,1,0,8
663,16,27,157
664,14,19,21
665,20,27,33
666,14,26,74
667,3,5,94
668,21,36,143
669,19,29,46
670,4,6,64
671,24,46,85
672,32,76,92
673,21,29,29
674,1,0,8
675,77,80,43
676,8,20,15
677,69,99,32
678,51,102,47
679,1,0,5
680,0,3,9
681,9,10,27
682,68,113,19
683,39,105,56
684,0,1,5
685,58,120,22
686,47,143,10
687,53,138,9
688,33,151,16
689,49,133,18
690,43,145,12
691,40,146,14
692,71,115,14
693,67,124,9
694,18,20,7
695,50,114,36
696,56,109,35
697,50,87,30
698,57,78,65
699,47,67,86
700,9,20,75
701,1,0,7
702,16,23,27
703,46,71,83
704,48,94,58
705,44,114,42
706,64,73,63
707,54,96,50
708,52,78,70
709,52,82,66
710,61,62,77
711,7,17,30
712,62,72,66
713,53,68,79
714,40,54,106
715,9,8,16
716,1,0,6
717,63,71,66
718,66,75,59
719,75,66,41
720,59,80,61
721,47,38,40
722,55,76,69
723,13,11,20
724,5,6,10
725,15,10,43
726,2,1,7
727,2,1,4
728,7,10,119
729,5,12,183
730,7,13,67
731,10,10,127
732,16,22,34
733,5,9,66
734,7,18,175
735,1,4,21
736,6,15,179
737,5,3,23
738,5,7,54
739,5,10,8
740,3,3,194
741,4,2,25
742,4,2,194
743,2,1,197
744,36,35,52
745,1,1,198
746,20,12,25
747,4,9,154
748,2,9,46
749,83,33,84
750,49,33,118
751,69,32,99
752,4,3,11
753,80,60,60
754,64,38,80
755,2,0,8
756,56,45,32
757,63,27,110
758,4,1,15
759,1,0,5
760,95,50,44
761,42,30,21
762,14,5,10
763,38,15,33
764,18,12,40
765,11,9,180
766,40,41,82
767,42,33,125
768,24,13,24
769,12,7,51
770,6,8,29
771,9,11,14
772,5,3,15
773,3,0,8
774,1,0,2
775,11,13,17
776,1,4,12
777,1,4,10
778,54,70,76
779,27,34,139
780,13,21,166
781,68,44,88
782,68,70,62
783,14,19,28
784,5,2,14
785,5,4,9
786,2,2,8
787,6,6,31
788,41,18,43
789,26,13,10
790,1,0,3
791,3,0,12
792,2,2,10
793,7,5,188
794,9,3,32
795,17,3,180
796,6,4,12
797,8,2,19
798,82,27,91
799,1,3,6
800,52,16,132
801,13,7,25
802,10,11,15
803,89,39,72
804,1,1,9
805,114,63,23
806,111,57,32
807,96,75,27
808,1,2,4
809,17,11,10
810,84,61,55
811,62,41,42
812,1,1,5
813,3,2,8
814,69,104,27
815,30,48,30
816,40,80,80
817,37,77,81
818,1,1,10
819,35,74,78
820,2,10,10
821,49,99,52
822,4,11,7
823,42,114,44
824,42,94,64
825,14,21,23
826,4,18,13
827,6,6,4
828,53,99,48
829,58,103,39
830,66,78,56
831,44,86,70
832,40,68,40
833,3,2,6
834,28,31,48
835,55,90,55
836,8,6,6
837,12,14,24
838,3,12,6
839,0,0,3
840,27,55,118
841,44,51,105
842,13,15,27
843,8,7,19
844,0,4,11
845,55,57,88
846,11,7,13
847,15,19,27
848,19,32,19
849,25,63,29
850,12,27,17
851,47,55,98
852,0,1,7
853,30,47,123
854,46,42,112
855,28,50,34
856,13,23,47
857,19,49,81
858,1,0,6
859,27,32,43
860,29,43,29
861,70,94,36
862,1,1,4
863,22,25,19
864,45,46,109
865,61,94,45
866,1,0,8
867,64,58,54
868,54,35,103
869,1,2,9
870,73,71,56
871,24,15,161
872,22,34,118
873,22,15,64
874,17,17,19
875,38,40,39
876,13,11,176
877,25,23,102
878,10,13,21
879,24,34,45
880,1,1,6
881,27,33,22
882,16,18,48
883,13,21,34
884,10,14,10
885,1,0,199
886,5,5,14
887,3,0,157
888,7,10,183
889,35,30,37
890,5,6,19
891,1,2,7
892,8,6,186
893,3,2,5
894,61,45,94
895,3,2,11
896,8,14,21
897,52,79,69
898,34,33,133
899,7,12,181
900,8,15,28
901,8,12,86
902,2,5,10
903,9,20,18
904,21,21,158
905,9,12,17
906,19,14,21
907,6,6,76
908,1,1,12
909,29,21,150
910,0,2,9
911,4,5,5
